tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_est_0,tau_est_1,tau_est_2,tau_est_3,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3
-8.529446,-7.104284,-7.055243,-3.820073,-10.15597,4.178438,-3.738618,-2.426272,0.165225,-0.007981,0.156002,0.004144,-0.078473,-0.244337,-0.126555,-0.148659,8e-06,0.006802,-0.004341,-1e-06
-4.929466,-3.667078,-2.448033,-4.629121,-10.452953,4.140915,-4.213415,-2.350811,0.165225,-0.007981,0.156002,0.004144,0.024631,-0.130217,0.058081,-0.181565,0.004338,-1e-06,4e-06,-0.006802
-7.460147,1.242434,-1.70862,-2.951302,-5.998712,0.540561,-5.636597,-3.637723,0.164843,-0.011523,0.15393,0.002077,-0.057314,-0.029503,0.049824,-0.154065,-0.157674,-0.890917,-0.447015,-0.476124
-9.489738,2.373064,-2.991159,-3.792097,-7.720331,2.642623,-5.815132,-2.914939,0.162355,-0.025987,0.154873,-0.001761,-0.143257,-0.028964,0.054666,-0.185542,-0.603341,-1.231187,0.242992,-0.401214
-9.275756,1.626492,-1.316049,-2.802492,-9.19752,2.31242,-4.391668,-2.531992,0.151791,-0.03071,0.156751,-0.008844,-0.175041,0.012625,0.107492,-0.19004,-1.081682,-0.163221,0.042287,-0.863704
-10.93152,0.980624,-0.229151,-1.529654,-11.617492,1.750302,-2.076665,-1.811843,0.138604,-0.028937,0.15409,-0.02006,-0.240134,0.046842,0.129393,-0.167764,-1.162155,0.646373,-0.194137,-1.081473
-14.412573,1.710546,-1.665483,-2.492173,-14.629327,3.680487,-2.610939,-1.69243,0.130323,-0.023032,0.153674,-0.030687,-0.31991,0.063014,0.093387,-0.190234,-0.672791,0.435417,0.079154,-0.748251
-15.771249,0.0232319999999999,-2.057517,-2.783547,-16.332158,5.14922,-3.383009,-2.859434,0.119953,-0.017422,0.155716,-0.036886,-0.418118,0.033697,0.084317,-0.186867,-1.530618,0.755169,0.136271,-0.482989
-18.03494,-0.283984,-0.643296,-2.099734,-20.390623,5.265297,-1.601622,-3.171745,0.105213,-0.01565,0.152699,-0.037477,-0.496701,-0.000167,0.077751,-0.104607,-1.516025,0.374237,-0.615202,0.210742
-21.116133,0.769668,-0.0709079999999997,-2.795137,-22.730345,5.643323,-1.838039,-2.566294,0.091968,-0.014469,0.145563,-0.032755,-0.573453,-0.00332,0.088121,-0.080898,-1.086801,-0.217599,-0.682571,0.795781
-20.727322,0.79012,-0.0647469999999997,-2.532842,-26.661786,5.83747,-1.00707,-2.496325,0.080603,-0.014467,0.138062,-0.022129,-0.562269,0.009153,0.069721,-0.019521,-0.886599,-0.04076,-0.821889,1.299021
-17.67319,-0.753742,1.859817,-2.672191,-26.163569,5.98279,-0.887958,-2.271537,0.06809,-0.013286,0.129223,-0.007076,-0.504034,-0.021174,0.119184,0.028581,-1.175575,0.258551,-1.055396,1.781808
-14.163455,0.411258,1.70338,-3.041844,-23.140839,5.106232,1.952704,-1.133653,0.058602,-0.013285,0.119211,0.009747,-0.399069,-0.001841,0.115785,0.015395,-0.927515,-0.033969,-0.894515,1.591522
-13.034028,2.73441,2.134597,-1.997501,-19.240674,4.191027,1.537366,0.496971,0.049486,-0.013285,0.109729,0.024506,-0.365194,0.077864,0.13957,-0.014035,-0.739886,3e-05,-0.694286,0.516988
-10.091127,3.260238,3.43125,-1.189393,-17.052909,4.525783,2.245511,1.029279,0.041696,-0.011808,0.101973,0.025392,-0.288651,0.123624,0.195365,-0.048855,-0.735509,0.401361,-0.548225,-0.333391
-10.340891,2.616664,3.025791,-1.449555,-15.98569,5.42549,3.130812,0.462316,0.035045,-0.006791,0.098012,0.020964,-0.274418,0.111721,0.207269,-0.071305,-0.245157,0.469348,-0.147183,-0.428585
-11.314848,4.502102,2.221705,-1.133196,-15.280551,6.103768,3.130667,0.233453,0.035237,-0.004724,0.097833,0.016535,-0.280281,0.142625,0.192354,-0.064165,0.135859,-0.040816,0.07066,-0.442152
