Time,w_f_0,F_0,N1_0,N2_0,P3_0,T5_0
0,0.812741074565359,32.272475349814,7000.49442778817,12716.5344668507,1455.99992095219,1138.75822173343
0.005,0.816419319272785,35.1435304997647,7003.36548293812,12719.4055220006,1458.87097610214,1141.62927688338
0.01,0.820097476480757,30.555693783338,6998.77764622169,12714.8176852842,1454.28313938572,1137.04144016695
0.015,0.823775458692011,33.5860062858607,7001.80795872421,12717.8479977867,1457.31345188824,1140.07175266948
0.02,0.827453178413655,32.08068385349,7000.26769687244,12716.3077359349,1458.23805211348,1141.71470121296
0.025,0.831130548159361,31.2546618081307,6999.44167482708,12715.4817138896,1457.41203006812,1140.8886791676
0.03,0.83480748045155,30.5024222297861,6998.68943524874,12714.7294743112,1456.65979048978,1140.13643958925
0.035,0.838483887823579,31.9981213538025,7000.18513437275,12716.2251734353,1458.15548961379,1141.63213871327
0.04,0.842159682821928,32.6817204547877,7002.65045966049,12718.290323131,1462.40790535796,1145.92696446709
0.045,0.845834778008387,32.2221430148128,7002.19088222052,12717.830745691,1461.94832791799,1145.46738702711
0.05,0.849509085962241,32.5884332127292,7002.55717241843,12718.1970358889,1462.31461811591,1145.83367722503
0.055,0.853182519282454,32.5679813702722,7002.53672057598,12718.1765840465,1462.29416627345,1145.81322538257
0.06,0.856854990589858,31.7607309203225,7005.49919011917,12720.318179688,1466.22004404643,1148.99203890248
0.065,0.860526412529336,33.72918692474,7007.46764612359,12722.2866356924,1468.18850005085,1150.96049490689
0.07,0.864196697772002,31.2256436917612,7004.96410289061,12719.7830924595,1465.68495681787,1148.45695167392
0.075,0.867865759017389,28.9547575775975,7002.69321677645,12717.5122063453,1463.41407070371,1146.18606555975
0.08,0.871533508995631,29.8904527616276,7009.51762226726,12723.0822981096,1470.25949029784,1151.40123962171
0.085,0.875199860469642,34.640636481889,7014.26780598752,12727.8324818299,1475.0096740181,1156.15142334197
0.09,0.878864726237299,31.4699777583085,7011.09714726394,12724.6618231063,1471.83901529452,1152.98076461839
0.095,0.882528019133622,30.7201305201234,7010.34730002575,12723.9119758681,1471.08916805633,1152.23091738021
0.1,1.52817710027701,31.0429203871539,7018.77419140189,12730.6446603196,1478.50034872418,1157.05031264912
0.105,1.53285205737803,31.1733802997844,7018.90465131452,12730.7751202323,1478.63080863681,1157.18077256175
0.11,1.53752518035743,31.5459084246377,7019.27717943938,12731.1476483571,1479.00333676166,1157.5533006866
0.115,1.54219638222055,31.5337602933901,7019.26503130813,12731.1355002259,1478.99118863041,1157.54115255535
0.12,1.54686557602082,32.5186092391646,7030.22525028039,12739.9602500565,1516.70672746769,1199.70071406859
0.125,1.55153267486182,34.9295868900011,7032.63622793122,12742.3712277073,1519.11770511853,1202.11169171942
0.13,1.55619759189953,32.9250477060891,7030.63168874731,12740.3666885234,1517.11316593462,1200.10715253551
0.135,1.56086024034448,34.6298595561195,7032.33650059734,12742.0715003734,1518.81797778465,1201.81196438554
0.14,1.56552053346389,34.7491448207191,7066.10323330488,12768.5646514014,1562.70489921378,1238.10580334082
0.145,1.57017838458387,34.1351445532971,7065.48923303745,12767.950651134,1562.09089894636,1237.4918030734
0.15,1.57483370709161,32.8311185964222,7064.18520708058,12766.6466251772,1560.78687298949,1236.18777711652
0.155,1.57948641443748,33.0102006733535,7064.36428915751,12766.8257072541,1560.96595506642,1236.36685919345
0.16,1.5827,34.3753014140488,7119.38326659056,12810.4030677547,1611.90931414016,1268.59792354012
0.165,1.5827,32.9261221473034,7117.93408732381,12808.953888488,1610.46013487342,1267.14874427337
0.17,1.5827,37.7428641359029,7122.75082931241,12813.7706304766,1615.27687686202,1271.96548626197
0.175,1.5827,36.1054332285191,7121.11339840503,12812.1331995692,1613.63944595463,1270.32805535459
0.18,1.5827,34.9698301284238,7190.44276682912,12866.6379016101,1666.7825244763,1294.68479978626
0.185,1.5827,34.5461430415484,7190.01907974225,12866.2142145233,1666.35883738942,1294.26111269938
0.19,1.5827,35.7140268451802,7191.18696354588,12867.3820983269,1667.52672119306,1295.42899650301
0.195,1.5827,36.995159795913,7192.46809649661,12868.6632312776,1668.80785414379,1296.71012945375
0.2,0.7,36.8997853334361,7276.84992364496,12935.4868463848,1726.02889197068,1316.06057576738
0.205,0.7,35.4603009631692,7275.41043927469,12934.0473620145,1724.58940760042,1314.62109139711
0.21,0.7,35.9903200837098,7275.94045839523,12934.5773811351,1725.11942672096,1315.15111051765
0.215,0.7,37.2414365189433,7277.19157483047,12935.8284975703,1726.37054315619,1316.40222695288
0.22,0.7,39.7973336552427,7375.84585850459,13014.8502605813,1749.17464164466,1288.13250405497
0.225,0.7,38.0831658714612,7374.13169072081,13013.1360927975,1747.46047386088,1286.41833627118
0.23,0.7,39.4573975270107,7375.50592237636,13014.5103244531,1748.83470551643,1287.79256792673
0.235,0.7,37.4142487682094,7373.46277361755,13012.4671756943,1746.79155675763,1285.74941916793
0.24,0.7,38.7637235917309,7450.66901887675,13075.1445325357,1761.97729964636,1260.68389747345
0.245,0.7,38.9980813304241,7450.90337661544,13075.3788902744,1762.21165738505,1260.91825521215
0.25,0.7,36.4830519851714,7448.38834727019,13072.8638609291,1759.6966280398,1258.40322586689
0.255,0.7,35.5893728696626,7447.49466815468,13071.9701818136,1758.80294892429,1257.50954675139
0.26,0.7,39.8281516376255,7510.56467183749,13124.7411741148,1771.5248591848,1238.78162773959
0.265,0.7,39.0461905370536,7509.78271073692,13123.9592130142,1770.74289808423,1237.99966663902
0.27,0.7,40.9130852003975,7511.64960540027,13125.8261076776,1772.60979274757,1239.86656130236
0.275,0.7,39.1719013014207,7509.90842150129,13124.0849237786,1770.86860884859,1238.12537740339
0.28,0.7,39.0083220446943,7554.18138722618,13161.5465443957,1774.71253412399,1217.76425811822
0.285,0.7,38.8128670762104,7553.9859322577,13161.3510894272,1774.51707915551,1217.56880314973
0.29,0.7,40.4911841297324,7555.66424931122,13163.0294064807,1776.19539620903,1219.24712020326
0.295,0.7,40.2787776449208,7555.45184282641,13162.8169999959,1775.98298972422,1219.03471371844
0.3,1.33217716980987,40.9621651158598,7588.35256724326,13191.7663865502,1776.93089590297,1201.79866316907
0.305,1.33616091040025,42.5146058281693,7589.90500795557,13193.3188272625,1778.48333661528,1203.35110388138
0.31,1.340139395871,40.6084671664704,7587.99886929387,13191.4126886008,1776.57719795358,1201.44496521968
0.315,1.34411254282674,37.3256174883453,7584.71601961574,13188.1298389227,1773.29434827546,1198.16211554156
0.32,1.34808026800553,40.4277913688835,7609.20825104445,13211.0017485464,1801.62631284671,1214.67286825597
0.325,1.35204248828098,42.3602800368051,7611.14073971237,13212.9342372143,1803.55880151463,1216.60535692389
0.33,1.35599912066432,38.8292131931972,7607.60967286876,13209.4031703707,1800.02773467102,1213.07429008028
0.335,1.35995008230647,40.2043966764604,7608.98485635203,13210.778353854,1801.40291815428,1214.44947356355
0.34,1.36389529050014,38.7371233068353,7640.35386944843,13237.5734764506,1828.83641147545,1224.85982562146
0.345,1.36783466268185,41.3870136578351,7643.00375979943,13240.2233668016,1831.48630182645,1227.50971597246
0.35,1.37176811643404,40.1745853169325,7641.79133145852,13239.0109384607,1830.27387348555,1226.29728763156
0.355,1.3756955694871,38.6545739106244,7640.27132005222,13237.4909270544,1828.75386207924,1224.77727622525
0.36,1.37961693972145,42.3715050069809,7686.61731492546,13276.8395830397,1864.46281173966,1238.73615120348
0.365,1.38353214516955,44.5912045261816,7688.83701444466,13279.0592825589,1866.68251125886,1240.95585072268
0.37,1.38744110401802,42.4905899036194,7686.7363998221,13276.9586679364,1864.5818966363,1238.85523610012
0.375,1.3913437346096,41.3319542469086,7685.57776416539,13275.8000322797,1863.42326097959,1237.6966004434
0.38,1.39523995544529,46.7655467686922,7742.00286865249,13323.2396608403,1903.44205169239,1251.70152465132
0.385,1.39912968518628,41.4467422778908,7736.68406416169,13317.9208563495,1898.12324720159,1246.38272016052
